N	pi_value
936000	3.1394957264957264
937000	3.1395346851654216
938000	3.1395351812366736
939000	3.1395058572949948
940000	3.1395744680851063
941000	3.139566418703507
942000	3.139579617834395
943000	3.13949098621421
944000	3.1394957627118645
945000	3.1394497354497353
946000	3.139479915433404
947000	3.1395227032734954
948000	3.139565400843882
949000	3.13954478398314
950000	3.1394778947368422
951000	3.1394868559411147
952000	3.1394789915966386
953000	3.139479538300105
954000	3.139517819706499
955000	3.139489005235602
956000	3.1395439330543935
957000	3.139573667711599
958000	3.1396409185803758
959000	3.1396788321167883
960000	3.1396208333333333
961000	3.1396670135275753
962000	3.1397422037422036
963000	3.139763239875389
964000	3.139738589211618
965000	3.139743005181347
966000	3.139784679089027
967000	3.1398304033092037
968000	3.1398305785123966
969000	3.1397894736842105
970000	3.1397938144329895
971000	3.1398434603501544
972000	3.139843621399177
973000	3.13984789311408
974000	3.139852156057495
975000	3.1398276923076924
976000	3.13980737704918
977000	3.139742067553736
978000	3.1397873210633946
979000	3.1398488253319714
980000	3.139942857142857
981000	3.1398572884811418
982000	3.13989816700611
983000	3.1399511698880977
984000	3.139930894308943
985000	3.14
986000	3.1399553752535496
987000	3.139939209726444
988000	3.139927125506073
989000	3.1399716885743176
990000	3.139979797979798
991000	3.139991927346115
992000	3.140060483870968
993000	3.140112789526687
994000	3.1401569416498996
995000	3.140164824120603
996000	3.140164658634538
997000	3.1401404212637916
998000	3.140184368737475
999000	3.140068068068068
1000000	3.140216
1001000	3.1402157842157843
1002000	3.140119760479042
1003000	3.1400199401794615
1004000	3.140027888446215
1005000	3.1401353233830847
1006000	3.1401510934393637
1007000	3.1401191658391263
1008000	3.1401309523809524
1009000	3.1401783944499506
1010000	3.1401584158415843
1011000	3.140102868447082
1012000	3.1400632411067195
1013000	3.1400434353405724
1014000	3.140043392504931
1015000	3.140070935960591
1016000	3.140051181102362
1017000	3.140023598820059
1018000	3.1399803536345776
1019000	3.1400314033366046
1020000	3.140086274509804
1021000	3.1401292850146914
1022000	3.140211350293542
1023000	3.1401603128054743
1024000	3.14016015625
1025000	3.1401326829268292
1026000	3.1402378167641327
1027000	3.140225900681597
1028000	3.1402451361867705
1029000	3.140275996112731
1030000	3.140198058252427
1031000	3.1401202715809893
1032000	3.140027131782946
1033000	3.1399767666989353
1034000	3.1399303675048356
1035000	3.139914975845411
1036000	3.139864864864865
1037000	3.1399151398264222
1038000	3.1399537572254337
1039000	3.139880654475457
1040000	3.1399384615384616
1041000	3.1399269932756964
1042000	3.139992322456814
1043000	3.1399309683604986
1044000	3.1398467432950192
1045000	3.139915789473684
1046000	3.1399694072657742
1047000	3.13992741165234
1048000	3.1399007633587788
1049000	3.1398398474737848
1050000	3.139866666666667
1051000	3.1398325404376783
1052000	3.139855513307985
1053000	3.1398898385565053
1054000	3.1399013282732446
1055000	3.139924170616114
1056000	3.139965909090909
1057000	3.1399697256385997
1058000	3.1398941398865783
1059000	3.139928234183192
1060000	3.1399056603773583
1061000	3.1399773798303485
1062000	3.139984934086629
1063000	3.1401053621825024
1064000	3.1400827067669175
1065000	3.140093896713615
1066000	3.14009756097561
1067000	3.1401012183692596
1068000	3.1400711610486893
1069000	3.1400149672591207
1070000	3.140018691588785
1071000	3.1400373482726422
1072000	3.140007462686567
1073000	3.1400335507921713
1074000	3.140052141527002
1075000	3.1399776744186045
1076000	3.1400074349442377
1077000	3.13997400185701
1078000	3.1399294990723563
1079000	3.1399518072289156
1080000	3.1398888888888887
1081000	3.139922294172063
1082000	3.1399223659889093
1083000	3.139948291782087
1084000	3.13990036900369
1085000	3.1398820276497696
1086000	3.1399300184162064
1087000	3.1399300827966883
1088000	3.1399264705882355
1089000	3.139900826446281
1090000	3.1399926605504587
1091000	3.1400733272227312
1092000	3.14010989010989
